sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,stimulus
1782597625.5498312,92615.0682806,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5517807,92615.0702969,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5518544,92615.0702992,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5518904,92615.0703015,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5586333,92615.0771354,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5586858,92615.0771389,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.56061,92615.0791359,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5701637,92615.0886533,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5704682,92615.0886553,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5705228,92615.088656,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.5807164,92615.0991565,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.6007905,92615.119207,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.6009002,92615.1192127,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.6009192,92615.1192146,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.6009374,92615.119216,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.6009676,92615.1192177,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.6009858,92615.1192193,231690.234375,203481.96875,685781.75,243354.09375,711227.0625,198140.453125,350552.625,203976.125,0
1782597625.6010015,92615.1192208,231526.890625,203338.828125,685697.125,243143.890625,711218.75,198046.390625,350330.09375,203813.40625,0
1782597625.601019,92615.1192226,231305.875,203104.140625,685709.625,242890.96875,711219.0625,197929.359375,350167.71875,203603.21875,0
1782597625.601037,92615.1192242,231312.140625,203070.4375,685637.125,242911.4375,711221.1875,197916.03125,350175.0625,203619.125,0
1782597625.601052,92615.1192256,231506.78125,203244.0625,685691.8125,243155.78125,711222.4375,198007.765625,350322.21875,203817.78125,0
1782597625.6080236,92615.1264817,231642.578125,203416.890625,685771.75,243298.75,711222.4375,198094.40625,350410.71875,203940.453125,0
1782597625.608154,92615.1264951,231515.625,203330.25,685702.4375,243139.15625,711218.0625,198046.03125,350312.375,203815.375,0
1782597625.608192,92615.1264965,231296.578125,203102.625,685692.4375,242885.59375,711216.8125,197926.9375,350148.125,203604.375,0
1782597625.6124878,92615.1309925,231301.234375,203069.0,685637.1875,242906.515625,711220.0,197911.109375,350156.1875,203619.390625,0
1782597625.612584,92615.1309947,231497.46875,203240.75,685695.0625,243152.125,711221.625,198002.3125,350305.9375,203820.296875,0
1782597625.6126177,92615.130996,231632.75,203408.125,685767.3125,243291.6875,711219.125,198082.78125,350391.6875,203938.578125,0
1782597625.622773,92615.14101,231505.796875,203322.109375,685704.25,243132.71875,711215.1875,198035.65625,350295.3125,203811.796875,0
1782597625.6228678,92615.1410148,231281.46875,203086.96875,685700.0625,242872.90625,711214.1875,197909.78125,350125.96875,203595.078125,0
1782597625.6228933,92615.141016,231284.421875,203048.890625,685617.1875,242891.953125,711216.8125,197894.21875,350132.75,203607.953125,0
1782597625.6229134,92615.1410169,231480.3125,203218.671875,685683.0625,243136.828125,711219.3125,197987.203125,350282.53125,203807.953125,0
1782597625.6229749,92615.1410177,231619.15625,203388.375,685763.4375,243283.546875,711218.25,198073.296875,350376.65625,203930.4375,0
1782597625.623002,92615.1410184,231493.359375,203299.046875,685700.9375,243126.734375,711214.6875,198028.234375,350284.03125,203806.609375,0
1782597625.6230218,92615.1410191,231277.890625,203072.3125,685704.25,242869.421875,711212.8125,197906.375,350117.125,203591.59375,0
1782597625.62304,92615.1410198,231282.0,203034.859375,685638.25,242884.4375,711214.1875,197890.90625,350121.0625,203604.203125,0
1782597625.6230564,92615.1410207,231487.546875,203217.0625,685704.4375,243136.75,711219.5,197990.328125,350279.84375,203815.015625,0
1782597625.623075,92615.1410216,231633.1875,203396.765625,685788.125,243287.484375,711220.5625,198080.625,350379.15625,203946.53125,0
1782597625.6230936,92615.1410222,231513.03125,203316.125,685715.6875,243130.9375,711217.0,198035.03125,350286.1875,203820.734375,0
1782597625.6231117,92615.1410229,231288.53125,203081.96875,685689.6875,242871.46875,711217.0,197910.484375,350117.21875,203603.65625,0
1782597625.6231284,92615.1410235,231287.90625,203043.34375,685630.3125,242882.65625,711217.0,197891.359375,350115.0625,203608.578125,0
1782597625.6231456,92615.1410335,231493.265625,203224.3125,685691.5625,243134.15625,711218.0625,197988.90625,350268.9375,203811.265625,0
1782597625.6231625,92615.1410342,231633.015625,203394.984375,685772.625,243285.875,711219.3125,198075.71875,350363.25,203939.203125,0
1782597625.6232119,92615.1410348,231524.5625,203324.359375,685710.5,243137.734375,711218.6875,198036.203125,350273.84375,203821.0,0
1782597625.623249,92615.1410355,231297.5625,203083.75,685700.6875,242868.96875,711216.375,197905.484375,350096.5625,203595.078125,0
1782597625.6232677,92615.1410361,231295.859375,203042.453125,685629.5,242880.859375,711218.6875,197886.171875,350098.53125,203603.03125,0
1782597625.6232827,92615.1410367,231499.625,203222.875,685692.1875,243139.0625,711221.75,197985.40625,350260.0,203815.015625,0
1782597625.6232965,92615.1410374,231645.53125,203402.765625,685778.75,243295.265625,711220.375,198074.109375,350360.40625,203947.078125,0
1782597625.62331,92615.141038,231525.015625,203319.25,685713.375,243138.265625,711218.125,198026.71875,350265.53125,203822.171875,0
1782597625.623328,92615.1410386,231292.640625,203076.875,685700.0625,242870.40625,711217.0625,197899.3125,350091.09375,203597.125,0
1782597625.6233733,92615.1410394,231287.28125,203032.171875,685626.125,242879.96875,711218.5,197880.546875,350091.71875,203601.328125,0
1782597625.6233926,92615.1410401,231482.984375,203203.65625,685687.1875,243130.125,711219.0625,197973.515625,350244.0625,203805.8125,0
1782597625.6234076,92615.1410407,231622.015625,203373.34375,685768.25,243284.359375,711219.9375,198058.28125,350338.84375,203936.078125,0
1782597625.6234372,92615.1410415,231506.953125,203296.90625,685698.6875,243134.59375,711216.8125,198014.828125,350247.28125,203815.640625,0
1782597625.623467,92615.1410422,231294.515625,203077.5,685670.4375,242878.09375,711216.5625,197899.40625,350082.25,203601.875,0
1782597625.6235082,92615.1410428,231287.734375,203032.171875,685629.125,242882.03125,711219.125,197881.171875,350078.3125,203602.9375,0
1782597625.6235352,92615.1410436,231476.203125,203194.625,685678.0625,243122.890625,711219.3125,197968.609375,350225.3125,203798.828125,0
1782597625.6235666,92615.1410443,231621.484375,203370.125,685760.875,243277.203125,711220.125,198057.65625,350325.875,203930.796875,0
1782597625.6235962,92615.141045,231503.203125,203289.84375,685706.25,243127.53125,711217.0625,198016.609375,350236.75,203811.796875,0
1782597625.6236181,92615.1410457,231261.078125,203037.984375,685718.375,242850.109375,711214.0625,197881.609375,350054.25,203584.53125,0
1782597625.6236365,92615.1410467,231244.359375,202982.734375,685620.1875,242840.546875,711214.5,197848.984375,350038.34375,203576.03125,0
1782597625.6236777,92615.1410473,231434.796875,203148.578125,685664.9375,243080.0625,711215.75,197934.1875,350183.28125,203769.59375,0
1782597625.6237347,92615.1410479,231585.8125,203332.125,685749.9375,243239.109375,711213.25,198022.34375,350283.0625,203902.90625,0
1782597625.6237612,92615.1410486,231479.234375,203264.984375,685690.3125,243096.0625,711207.625,197981.921875,350195.4375,203789.359375,0
1782597625.6237814,92615.1410492,231262.6875,203042.1875,685689.25,242839.90625,711211.875,197866.859375,350033.78125,203578.171875,0
1782597625.6237967,92615.1410499,231262.6875,203001.0625,685623.9375,242849.5625,711217.0,197853.265625,350037.90625,203584.890625,0
1782597625.6238117,92615.1410505,231464.578125,203175.9375,685688.1875,243102.5,711223.4375,197951.890625,350197.03125,203792.484375,0
1782597625.6238477,92615.1410511,231624.796875,203367.453125,685781.3125,243267.453125,711224.5625,198046.5625,350305.3125,203934.546875,0
1782597625.64036,92615.1577424,231507.40625,203292.078125,685704.4375,243120.734375,711221.75,198003.46875,350216.4375,203818.234375,0
1782597625.6404624,92615.1577461,231284.234375,203062.03125,685676.375,242859.21875,711219.75,197882.78125,350047.1875,203599.453125,0
1782597625.6404965,92615.1577467,231269.390625,203009.734375,685603.375,242852.96875,711219.875,197857.828125,350034.40625,203588.546875,0
1782597625.6405175,92615.1577475,231462.34375,203177.28125,685662.25,243095.4375,711220.5625,197947.421875,350184.25,203783.90625,0
1782597625.6405356,92615.1577481,231613.171875,203356.453125,685751.1875,243258.703125,711219.875,198037.0,350290.5625,203923.5625,0
1782597625.6405528,92615.1577487,231503.5625,203288.953125,685698.625,243115.734375,711217.6875,197998.46875,350203.9375,203811.078125,0
1782597625.6553934,92615.1727607,231278.703125,203060.15625,685694.0625,242851.09375,711216.4375,197879.203125,350034.5,203591.40625,0
1782597625.6619146,92615.1812891,231274.9375,203019.46875,685610.1875,242851.625,711220.3125,197863.46875,350035.40625,203591.140625,0
1782597625.6680322,92615.1863761,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.682018,92615.1998979,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.695089,92615.212494,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7105718,92615.2290239,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7106562,92615.2290287,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.710682,92615.2290295,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7107008,92615.2290306,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7107208,92615.2290313,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.710735,92615.229032,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7107496,92615.2290327,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.710763,92615.2290335,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7150881,92615.2325463,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7151234,92615.2325478,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7151456,92615.2325486,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7180257,92615.2365435,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7180593,92615.2365447,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.728601,92615.2470791,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.741767,92615.2601844,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7566304,92615.2750877,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7567182,92615.2750918,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7567434,92615.2750935,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7568057,92615.2750951,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7616796,92615.278575,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.761759,92615.2785765,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7617836,92615.2785776,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7618039,92615.2785786,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7618613,92615.2785798,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7618802,92615.2785806,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7618985,92615.2785817,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7619326,92615.278583,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7619567,92615.278584,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
