sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,stimulus
1782602197.7085292,97187.2259202,206711.890625,170364.640625,234710.578125,196465.046875,685571.9375,179407.265625,200977.953125,179862.078125,0
1782602197.7139695,97187.2324683,206745.59375,170383.15625,234713.71875,196469.421875,685663.875,179394.65625,200957.484375,179850.90625,0
1782602197.7141252,97187.2324727,206759.015625,170397.28125,234719.53125,196475.15625,685620.9375,179413.34375,200973.3125,179865.484375,0
1782602197.7141776,97187.2324832,206711.796875,170378.234375,234722.03125,196484.625,685560.5,179456.078125,201041.515625,179908.65625,0
1782602197.720068,97187.2384838,206680.953125,170347.84375,234702.890625,196462.546875,685481.8125,179430.328125,201008.0,179872.8125,0
1782602197.7202015,97187.2384878,206694.09375,170345.609375,234692.703125,196455.125,685561.625,179396.8125,200970.890625,179848.578125,0
1782602197.7242544,97187.2424635,206732.71875,170369.46875,234699.3125,196463.703125,685666.25,179390.109375,200955.328125,179845.90625,0
1782602197.7312334,97187.2496557,206771.171875,170409.625,234727.125,196491.328125,685651.5,179430.421875,200990.828125,179884.515625,0
1782602197.7365985,97187.254063,206745.875,170412.921875,234745.09375,196513.328125,685603.75,179485.5,201070.140625,179939.859375,0
1782602197.7366817,97187.2540646,206712.609375,170380.203125,234721.578125,196485.875,685508.75,179456.171875,201031.953125,179901.515625,0
1782602197.7408302,97187.2581027,206722.078125,170373.765625,234706.296875,196475.515625,685569.4375,179416.125,200988.59375,179871.5625,0
1782602197.7409387,97187.2581052,206752.65625,170387.171875,234706.109375,196475.515625,685653.0,179398.59375,200962.21875,179857.171875,0
1782602197.7409968,97187.2581067,206779.21875,170411.671875,234723.09375,196489.640625,685610.8125,179421.21875,200985.015625,179878.4375,0
1782602197.741029,97187.2601453,206744.171875,170403.8125,234738.484375,196510.109375,685558.4375,179472.71875,201062.71875,179930.484375,0
1782602197.7481132,97187.2656429,206704.375,170365.8125,234711.125,196474.171875,685478.0625,179433.828125,201016.9375,179882.90625,0
1782602197.7482276,97187.2675902,206722.4375,170366.875,234702.171875,196464.953125,685560.9375,179397.078125,200975.8125,179857.171875,0
1782602197.7482922,97187.2675919,206753.46875,170381.8125,234704.328125,196467.640625,685655.0625,179380.171875,200950.5,179847.15625,0
1782602197.751061,97187.2695614,206778.765625,170404.796875,234720.328125,196484.71875,685626.5,179408.609375,200973.9375,179872.625,0
1782602197.754128,97187.2716595,206762.234375,170412.921875,234745.984375,196516.375,685586.0,179473.25,201061.734375,179933.515625,0
1782602197.7862248,97187.3046676,206726.203125,170375.203125,234722.296875,196488.296875,685500.125,179439.90625,201022.03125,179890.25,0
1782602197.7871974,97187.3066739,206739.96875,170372.96875,234711.75,196482.296875,685576.375,179403.6875,200982.6875,179862.625,0
1782602197.7872436,97187.3067251,206769.5625,170389.5,234716.84375,196488.65625,685663.5,179394.21875,200964.71875,179858.421875,0
1782602197.787315,97187.3067427,206775.015625,170400.859375,234723.1875,196492.765625,685610.8125,179411.46875,200979.125,179873.96875,0
1782602197.7943542,97187.3126423,206757.21875,170415.515625,234748.21875,196521.28125,685569.4375,179474.140625,201065.484375,179934.953125,0
1782602197.7944043,97187.3138642,206720.46875,170382.265625,234724.796875,196493.21875,685484.5,179446.96875,201029.625,179897.046875,0
1782602197.800445,97187.3178981,206731.109375,170380.734375,234714.609375,196488.828125,685559.25,179414.25,200991.90625,179871.109375,0
1782602197.8005166,97187.3179007,206760.796875,170396.125,234714.703125,196492.234375,685656.0625,179398.328125,200965.96875,179858.328125,0
1782602197.8006256,97187.3179024,206776.53125,170414.265625,234724.4375,196500.984375,685622.5625,179420.5,200985.90625,179878.0,0
1782602197.8007374,97187.3179039,206735.40625,170402.828125,234729.0,196506.0,685560.75,179466.28125,201055.5625,179921.453125,0
1782602197.8312213,97187.3505905,206692.21875,170362.40625,234696.375,196468.09375,685467.75,179429.359375,201008.71875,179873.265625,0
1782602197.8314748,97187.3506326,206701.25,170359.46875,234679.109375,196454.046875,685537.9375,179389.125,200962.578125,179840.0,0
1782602197.8344293,97187.3538442,206743.453125,170386.546875,234685.1875,196462.546875,685645.0625,179379.734375,200945.59375,179835.703125,0
1782602197.834539,97187.3538476,206760.265625,170407.109375,234692.515625,196471.578125,685615.5625,179402.703125,200963.375,179853.59375,0
1782602197.8346024,97187.3538494,206717.609375,170395.484375,234692.515625,196476.671875,685552.875,179445.71875,201029.1875,179893.640625,0
1782602197.8412662,97187.3597886,206695.0,170371.984375,234681.265625,196460.046875,685481.4375,179427.65625,201003.703125,179866.015625,0
1782602197.8413146,97187.3597911,206737.546875,170396.203125,234700.921875,196481.5,685589.1875,179423.265625,200995.65625,179869.765625,0
1782602197.841341,97187.3597928,206774.828125,170416.234375,234706.109375,196489.09375,685666.25,179417.015625,200979.828125,179864.140625,0
1782602197.8413603,97187.3597946,206793.078125,170433.578125,234715.140625,196501.4375,685614.3125,179442.140625,201002.546875,179886.21875,0
1782602197.8413982,97187.3597962,206749.0,170416.0625,234716.84375,196509.75,685556.4375,179484.421875,201070.765625,179930.296875,0
1782602197.8475778,97187.3660983,206712.078125,170379.125,234686.890625,196476.5,685473.125,179447.6875,201027.046875,179884.703125,0
1782602197.8476782,97187.3660999,206725.125,170374.03125,234674.1875,196468.796875,685552.6875,179411.46875,200987.703125,179857.609375,0
1782602197.8531764,97187.3701404,206763.921875,170396.65625,234684.65625,196482.390625,685664.375,179404.59375,200975.265625,179858.5,0
1782602197.8532338,97187.370142,206780.203125,170414.265625,234693.859375,196493.921875,685638.1875,179424.53125,200993.515625,179877.90625,0
1782602197.8601022,97187.3786291,206743.90625,170406.21875,234703.515625,196507.96875,685581.9375,179473.4375,201064.953125,179923.59375,0
1782602197.8911142,97187.4090131,206711.265625,170371.265625,234682.0625,196479.078125,685492.5625,179447.765625,201026.765625,179885.421875,0
1782602197.8912349,97187.4090172,206721.546875,170365.625,234668.5625,196469.15625,685559.25,179414.328125,200986.453125,179857.515625,0
1782602197.8940725,97187.4120833,206742.5625,170374.03125,234658.90625,196463.703125,685659.4375,179389.65625,200955.328125,179838.484375,0
1782602197.8941274,97187.4120885,206769.5625,170404.515625,234674.828125,196478.1875,685651.0,179414.421875,200977.953125,179862.53125,0
1782602197.8941593,97187.4120903,206735.3125,170402.015625,234683.578125,196490.96875,685599.0,179465.109375,201049.5625,179909.921875,0
1782602197.8973944,97187.4152716,206698.296875,170367.15625,234657.5625,196462.359375,685501.375,179437.21875,201011.84375,179867.265625,0
1782602197.902151,97187.4200141,206707.0625,170360.796875,234646.65625,196457.09375,685564.3125,179404.140625,200974.296875,179843.75,0
1782602197.904622,97187.4231129,206736.03125,170374.03125,234643.796875,196457.8125,685661.0625,179385.625,200947.828125,179835.078125,0
1782602197.9046888,97187.4231174,206771.34375,170409.171875,234664.1875,196476.5,685639.25,179415.9375,200974.46875,179865.75,0
1782602197.9105895,97187.4291063,206750.421875,170414.984375,234680.984375,196494.640625,685592.5625,179471.375,201052.96875,179921.359375,0
1782602197.9107206,97187.4291156,206713.6875,170378.953125,234655.0625,196465.40625,685499.3125,179440.53125,201012.46875,179881.578125,0
1782602197.9108214,97187.4291184,206724.046875,170373.140625,234643.171875,196458.875,685566.5,179402.625,200972.40625,179854.296875,0
1782602197.9182029,97187.4366707,206757.484375,170388.34375,234648.171875,196466.921875,685672.5,179389.65625,200953.09375,179847.234375,0
1782602197.918335,97187.4366856,206786.546875,170419.1875,234670.4375,196489.09375,685658.0625,179424.25,200982.78125,179877.28125,0
1782602197.9184148,97187.4366872,206739.96875,170402.46875,234668.203125,196490.96875,685593.8125,179462.703125,201044.46875,179912.859375,0
1782602197.9221773,97187.4406139,206685.78125,170351.0625,234633.0625,196450.921875,685495.3125,179422.921875,200996.375,179863.25,0
1782602197.929323,97187.4478124,206696.96875,170352.125,234626.09375,196448.859375,685571.5,179396.71875,200962.125,179844.921875,0
1782602197.9590604,97187.4763973,206736.65625,170377.875,234632.984375,196458.34375,685663.375,179390.1875,200945.59375,179841.78125,0
1782602197.9591863,97187.4764078,206755.796875,170398.984375,234645.5,196468.453125,685619.25,179413.171875,200965.890625,179859.484375,0
1782602197.9644928,97187.4828936,206722.265625,170394.859375,234656.40625,196479.796875,685561.9375,179458.046875,201037.765625,179903.921875,0
1782602197.9646084,97187.4829029,206686.859375,170362.59375,234635.75,196451.640625,685484.5,179427.03125,200999.953125,179865.65625,0
1782602197.9646585,97187.4829041,206698.390625,170361.96875,234631.09375,196451.1875,685570.4375,179396.09375,200966.515625,179844.015625,0
1782602197.968988,97187.4874853,206729.328125,170378.953125,234634.859375,196453.421875,685666.6875,179381.4375,200944.15625,179834.359375,0
1782602197.9690378,97187.487487,206745.421875,170398.796875,234645.578125,196461.828125,685629.875,179403.875,200962.21875,179853.140625,0
1782602197.969064,97187.487488,206710.1875,170391.46875,234653.625,196471.03125,685569.4375,179449.203125,201031.328125,179896.328125,0
1782602197.974461,97187.4931591,206681.5,170361.78125,234638.4375,196450.5625,685491.0,179428.546875,201003.34375,179862.96875,0
1782602197.974535,97187.4933832,206702.140625,170364.921875,234635.21875,196449.046875,685573.5625,179402.4375,200970.890625,179841.34375,0
1782602197.9804854,97187.4980004,206725.390625,170371.890625,234628.15625,196438.859375,685655.0625,179375.96875,200936.015625,179816.21875,0
1782602197.9805362,97187.4980183,206751.953125,170401.65625,234645.5,196454.765625,685619.9375,179402.796875,200960.34375,179836.78125,0
1782602197.9805603,97187.498021,206726.015625,170403.8125,234663.640625,196478.015625,685572.5625,179456.890625,201041.078125,179890.328125,0
